,strain,pop_num,mse,freq_s,deltag_s,deltag_r,hillcoef,K50_s,K50_r
110,1895,two,0.0,0.999951656950671,0.8837689580412076,0.8816836970066453,2.243912559453391,0.2359420205348603,11.117254843595967
111,2134,two,0.05458412976403019,0.9992301754800097,0.9260157117405906,0.008344900578158319,37.66924306388163,1.0422308514177498,5.649139548907722
112,2141,two,0.06412008933008871,0.9980001644804595,0.3006306116678014,0.026069677088458386,30.506978435270145,1.0076492805711155,4.067178545776988
113,2399,one,0.007623748670559112,1.0,7.084533482753319,,1.477017992307828,8.525597792903632,
114,2406,one,0.008204259002432502,1.0,2.6325103193976505,,1.5933497175592188,3.7396824344265096,
115,2412,one,0.008482254315005456,1.0,6.901082010538544,,1.795828318957859,5.7408279743182,
116,2413,two,0.008168467646332623,0.9999606501542111,0.5000283977543791,0.14518984876841676,4.090850397451136,0.9534674586715322,3.368302810268234
117,891,one,0.008503842692308724,1.0,5.094208964766727,,1.3047927922689586,8.67767606559498,
118,923,one,0.0069622420582002575,1.0,2.1373351370680016,,2.559142608944546,2.071604366115985,
119,925,one,0.008807914521793097,1.0,2.7973885092280937,,1.1237992242811834,6.895171130586952,
120,2191,two,0.009494865042773663,0.9991619276925426,5.349011327001565,2.2905811901128224,3.1923050006774365,3.9263042800721526,18.81459593834421
121,2199,two,0.009934504087587627,0.9364434758703967,0.6863793568301909,0.3289497962383753,1.7575611856995734,4.182958091571984,4.933878037133292
122,2640,two,0.12355509161002827,0.9964644664747839,0.4091947726253366,0.03352996714730582,26.885270348550982,1.0404716796478577,7.6243522579839835
123,2646,two,0.3529389765943539,0.9997289564793032,0.2107998600259151,0.02521108875274387,45.68435992824704,0.14236835480419519,29.543778473702364
124,2647,two,0.19754011876724986,0.9997735034677894,0.23746906592523764,0.03810750517400199,197.978943415925,0.4439238872790945,28.587533504358642
125,2648,two,0.22228137098217027,0.9997935955019662,0.23247465808008805,0.015097242506369957,36.8726329361496,0.9261794179484619,17.39890207222539
126,2649,two,0.2034015987403164,0.9992440222812714,0.19318557538996295,0.01716591200130928,46.60641102935392,0.16070331356962275,28.695623119773217
127,2448,two,0.0041557268110315616,0.999899999999999,0.29533621422978484,0.1469309886841903,54.33246830144815,0.9566855104650013,12.881993420387627
128,2456,two,0.06420081364232842,0.9996184283855729,5.975344060794136,0.3643552375940581,22.4141150862754,1.1783255551434872,16.480932040020097
129,2415,one,0.009751600614215622,1.0,0.9859199765129414,,1.000647914075803,3.004917713152717,
130,2422,one,0.008624657434972666,1.0,0.6916337758056577,,1.0185616995299527,1.5280100777205816,
131,2499,two,3.7532388518380547e-16,0.9981173282370903,0.48090975709592154,0.4785246384562009,3.333080352080931,1.003048097216296,4.807698604793287
132,2425,two,0.009956877423893626,0.9992979889956651,1.9124000887937616,0.34408749267851346,3.800194209986488,1.7374652259286136,4.465951127577403
133,2426,two,0.0,0.9991196331507044,4.226385933004683,4.223769202096168,4.017832364130586,0.4825376730769051,9.239526621251677
134,2524,one,0.009886110082008154,1.0,6.226887470632637,,1.7405036406276067,5.707383562461068,
135,2529,two,0.04058072521665015,0.9999505128343023,0.3297341904820401,0.08234299443525846,27.54059361775513,0.6101172668887211,4.114885430841399
136,1195,one,0.008380447737574102,1.0,0.7792679441842563,,1.0008916806286772,1.9441707907818777,
137,1196,one,0.00847025528354424,1.0,0.9850669729877277,,1.0249570817879812,3.498187899357322,
138,1197,one,0.007805624358226863,1.0,2.9076439277509043,,1.3733671485662762,5.0072568669849336,
139,1198,two,0.008730949915731876,0.9999673584217678,0.3100455892312426,0.2278952077183208,2.73809607476347,0.3338500791750496,4.994467102711705
140,1199,two,0.22774333443453548,0.9999701780165142,1.7739558499505825,0.010961545107953628,33.03423928681312,1.072134535712118,5.548478829547095
141,1204,one,0.008212138273563022,1.0,4.154025263123489,,1.5454429348764602,5.383761824107976,
142,1206,one,0.008714242353214339,1.0,4.017003937952342,,1.5022782174572809,5.5173748513864345,
143,1207,one,0.009221774119713056,1.0,9.469393566136016,,1.7897383455399707,16.019216414261976,
144,1208,two,0.08042190827684487,0.9997642828326999,1.1550794094560368,1.1548950048402742,17.802339011870476,0.20799665408979293,4.529601833418057
145,844,one,0.006880158837335801,1.0,4.443216748991833,,1.9138502318218427,4.041819226948265,
146,846,one,0.009412340962901966,1.0,1.5633203908459516,,1.0059859402442015,6.828336429164312,
147,848,one,0.009333718775401626,1.0,6.0790020725199705,,1.418143545986426,8.328843603692187,
148,850,one,0.009257122388671346,1.0,4.421125259496739,,2.206501488457261,3.351955303714742,
149,1351,one,0.006087316001578053,1.0,1.6398714355319512,,2.745512300423705,1.7588547613256291,
150,1617,one,0.00872829559989471,1.0,1.8051391849593883,,1.2246928271387474,5.9299145746122255,
151,CDC335,one,0.008295523483569144,1.0,1.3749677316685804,,1.0214152272356132,4.12303881484775,
152,CDC336,one,0.009116891428437555,1.0,4.582431018224669,,1.831814930333373,4.383317942320505,
153,CDC337,one,0.008311950096867868,1.0,3.6961054528434243,,1.1396789788119386,8.777483334524428,
154,CDC338,one,0.008588620508978496,1.0,4.671461324620595,,1.895781217647811,4.214925043126467,
155,CDC339,one,0.007736221776248628,1.0,3.3339440627570367,,1.8502128267011373,3.586439183544677,
156,CDC340,one,0.05253360655030877,1.0,0.8323613522970474,,1.003295985862527,2.3167078180582816,
157,CDC341,one,0.009080215221657561,1.0,2.1561827173446613,,1.0494063047648141,5.97042719125029,
158,CDC342,one,0.009275029210924901,1.0,0.4448808686926909,,3.5473195439851164,1.6914417801152763,
159,CDC343,two,0.05849051836118221,0.9998841486461573,1.7530709128129738,0.07107977575246144,4.060405079458804,1.8718421336396358,16.567624160463385
160,CDC344,two,0.2843498846544178,0.7201344032164896,0.2708717319723262,0.27087171976900554,1.5921251285910194,0.19219139755302414,5.331109514556095
